FECHA;CODIGO AGENCIA;AGENCIA;CODIGO PRODUCTO;PRODUCTO;MONTO
30/12/2021;A7;POTOSÍ;DD;DEPORTES;1219
30/12/2021;A7;POTOSÍ;EE;ELECTRODOMÉSTICOS;569
30/12/2021;A7;POTOSÍ;HO;PARA EL HOGAR;1056
30/12/2021;A7;POTOSÍ;JU;JUGUETES;555
30/12/2021;A7;POTOSÍ;LI;LIMPIEZA;815
30/12/2021;A7;POTOSÍ;MM;MUEBLES;998
30/12/2021;A7;POTOSÍ;RM;ROPA PARA MUJER;1577
30/12/2021;A7;POTOSÍ;RN;ROPA PARA NIÑOS;1172
30/12/2021;A7;POTOSÍ;RV;ROPA PARA VARÓN;1211
30/12/2021;A7;POTOSÍ;SM;SMARTPHONES;723
30/12/2021;A7;POTOSÍ;VA;VARIOS;706
30/12/2021;A8;TRINIDAD;AC;ACCESORIOS;922
30/12/2021;A8;TRINIDAD;CC;COMPUTACIÓN;947
30/12/2021;A8;TRINIDAD;CO;COSMÉTICOS;305
30/12/2021;A8;TRINIDAD;CZ;CALZADOS;441
30/12/2021;A8;TRINIDAD;DD;DEPORTES;624
30/12/2021;A8;TRINIDAD;EE;ELECTRODOMÉSTICOS;508
30/12/2021;A8;TRINIDAD;HO;PARA EL HOGAR;1422
30/12/2021;A8;TRINIDAD;JU;JUGUETES;1487
30/12/2021;A8;TRINIDAD;LI;LIMPIEZA;899
30/12/2021;A8;TRINIDAD;MM;MUEBLES;1104
30/12/2021;A8;TRINIDAD;RM;ROPA PARA MUJER;1000
30/12/2021;A8;TRINIDAD;RN;ROPA PARA NIÑOS;919
30/12/2021;A8;TRINIDAD;RV;ROPA PARA VARÓN;1490
30/12/2021;A8;TRINIDAD;SM;SMARTPHONES;521
30/12/2021;A8;TRINIDAD;VA;VARIOS;1048
30/12/2021;A9;COBIJA;AC;ACCESORIOS;1414
30/12/2021;A9;COBIJA;CC;COMPUTACIÓN;521
30/12/2021;A9;COBIJA;CO;COSMÉTICOS;1131
30/12/2021;A9;COBIJA;CZ;CALZADOS;1593
30/12/2021;A9;COBIJA;DD;DEPORTES;1620
30/12/2021;A9;COBIJA;EE;ELECTRODOMÉSTICOS;1634
30/12/2021;A9;COBIJA;HO;PARA EL HOGAR;1002
30/12/2021;A9;COBIJA;JU;JUGUETES;782
30/12/2021;A9;COBIJA;LI;LIMPIEZA;1399
30/12/2021;A9;COBIJA;MM;MUEBLES;784
30/12/2021;A9;COBIJA;RM;ROPA PARA MUJER;1126
30/12/2021;A9;COBIJA;RN;ROPA PARA NIÑOS;418
30/12/2021;A9;COBIJA;RV;ROPA PARA VARÓN;751
30/12/2021;A9;COBIJA;SM;SMARTPHONES;685
30/12/2021;A9;COBIJA;VA;VARIOS;1484
29/12/2021;A1;LA PAZ;AC;ACCESORIOS;1091
29/12/2021;A1;LA PAZ;CC;COMPUTACIÓN;308
29/12/2021;A1;LA PAZ;CO;COSMÉTICOS;799
29/12/2021;A1;LA PAZ;CZ;CALZADOS;398
29/12/2021;A1;LA PAZ;DD;DEPORTES;558
29/12/2021;A1;LA PAZ;EE;ELECTRODOMÉSTICOS;900
29/12/2021;A1;LA PAZ;HO;PARA EL HOGAR;869
29/12/2021;A1;LA PAZ;JU;JUGUETES;1443
29/12/2021;A1;LA PAZ;LI;LIMPIEZA;1507
29/12/2021;A1;LA PAZ;MM;MUEBLES;785
29/12/2021;A1;LA PAZ;RM;ROPA PARA MUJER;1195
29/12/2021;A1;LA PAZ;RN;ROPA PARA NIÑOS;512
29/12/2021;A1;LA PAZ;RV;ROPA PARA VARÓN;1217
29/12/2021;A1;LA PAZ;SM;SMARTPHONES;595
29/12/2021;A1;LA PAZ;VA;VARIOS;883
29/12/2021;A2;COCHABAMBA;AC;ACCESORIOS;1647
29/12/2021;A2;COCHABAMBA;CC;COMPUTACIÓN;1319
29/12/2021;A2;COCHABAMBA;CO;COSMÉTICOS;460
29/12/2021;A2;COCHABAMBA;CZ;CALZADOS;1099
29/12/2021;A2;COCHABAMBA;DD;DEPORTES;1420
29/12/2021;A2;COCHABAMBA;EE;ELECTRODOMÉSTICOS;1121
29/12/2021;A2;COCHABAMBA;HO;PARA EL HOGAR;1406
29/12/2021;A2;COCHABAMBA;JU;JUGUETES;1269
29/12/2021;A2;COCHABAMBA;LI;LIMPIEZA;1211
29/12/2021;A2;COCHABAMBA;MM;MUEBLES;458
29/12/2021;A2;COCHABAMBA;RM;ROPA PARA MUJER;323
29/12/2021;A2;COCHABAMBA;RN;ROPA PARA NIÑOS;526
29/12/2021;A2;COCHABAMBA;RV;ROPA PARA VARÓN;1088
29/12/2021;A2;COCHABAMBA;SM;SMARTPHONES;416
29/12/2021;A2;COCHABAMBA;VA;VARIOS;732
29/12/2021;A3;SANTA CRUZ;AC;ACCESORIOS;507
29/12/2021;A3;SANTA CRUZ;CC;COMPUTACIÓN;902
29/12/2021;A3;SANTA CRUZ;CO;COSMÉTICOS;1575
29/12/2021;A3;SANTA CRUZ;CZ;CALZADOS;1461
29/12/2021;A3;SANTA CRUZ;DD;DEPORTES;1054
29/12/2021;A3;SANTA CRUZ;EE;ELECTRODOMÉSTICOS;1071
29/12/2021;A3;SANTA CRUZ;HO;PARA EL HOGAR;894
29/12/2021;A3;SANTA CRUZ;JU;JUGUETES;835
29/12/2021;A3;SANTA CRUZ;LI;LIMPIEZA;539
29/12/2021;A3;SANTA CRUZ;MM;MUEBLES;1134
29/12/2021;A3;SANTA CRUZ;RM;ROPA PARA MUJER;740
29/12/2021;A3;SANTA CRUZ;RN;ROPA PARA NIÑOS;341
29/12/2021;A3;SANTA CRUZ;RV;ROPA PARA VARÓN;1176
29/12/2021;A3;SANTA CRUZ;SM;SMARTPHONES;304
29/12/2021;A3;SANTA CRUZ;VA;VARIOS;684
29/12/2021;A4;TARIJA;AC;ACCESORIOS;1506
29/12/2021;A4;TARIJA;CC;COMPUTACIÓN;1231
29/12/2021;A4;TARIJA;CO;COSMÉTICOS;979
29/12/2021;A4;TARIJA;CZ;CALZADOS;685
29/12/2021;A4;TARIJA;DD;DEPORTES;1066
29/12/2021;A4;TARIJA;EE;ELECTRODOMÉSTICOS;1519
29/12/2021;A4;TARIJA;HO;PARA EL HOGAR;876
29/12/2021;A4;TARIJA;JU;JUGUETES;1607
29/12/2021;A4;TARIJA;LI;LIMPIEZA;1413
29/12/2021;A4;TARIJA;MM;MUEBLES;800
29/12/2021;A4;TARIJA;RM;ROPA PARA MUJER;1024
29/12/2021;A4;TARIJA;RN;ROPA PARA NIÑOS;492
29/12/2021;A4;TARIJA;RV;ROPA PARA VARÓN;1639
29/12/2021;A4;TARIJA;SM;SMARTPHONES;343
29/12/2021;A4;TARIJA;VA;VARIOS;1423
29/12/2021;A5;SUCRE;AC;ACCESORIOS;1101
29/12/2021;A5;SUCRE;CC;COMPUTACIÓN;848
29/12/2021;A5;SUCRE;CO;COSMÉTICOS;1307
29/12/2021;A5;SUCRE;CZ;CALZADOS;666
29/12/2021;A5;SUCRE;DD;DEPORTES;1004
29/12/2021;A5;SUCRE;EE;ELECTRODOMÉSTICOS;1584
29/12/2021;A5;SUCRE;HO;PARA EL HOGAR;1190
29/12/2021;A5;SUCRE;JU;JUGUETES;642
29/12/2021;A5;SUCRE;LI;LIMPIEZA;1351
29/12/2021;A5;SUCRE;MM;MUEBLES;386
29/12/2021;A5;SUCRE;RM;ROPA PARA MUJER;1425
29/12/2021;A5;SUCRE;RN;ROPA PARA NIÑOS;617
29/12/2021;A5;SUCRE;RV;ROPA PARA VARÓN;1154
29/12/2021;A5;SUCRE;SM;SMARTPHONES;648
29/12/2021;A5;SUCRE;VA;VARIOS;462
29/12/2021;A6;ORURO;AC;ACCESORIOS;322
29/12/2021;A6;ORURO;CC;COMPUTACIÓN;1055
29/12/2021;A6;ORURO;CO;COSMÉTICOS;1407
29/12/2021;A6;ORURO;CZ;CALZADOS;665
29/12/2021;A6;ORURO;DD;DEPORTES;1027
29/12/2021;A6;ORURO;EE;ELECTRODOMÉSTICOS;1262
29/12/2021;A6;ORURO;HO;PARA EL HOGAR;1070
29/12/2021;A6;ORURO;JU;JUGUETES;591
29/12/2021;A6;ORURO;LI;LIMPIEZA;601
29/12/2021;A6;ORURO;MM;MUEBLES;997
29/12/2021;A6;ORURO;RM;ROPA PARA MUJER;485
29/12/2021;A6;ORURO;RN;ROPA PARA NIÑOS;766
29/12/2021;A6;ORURO;RV;ROPA PARA VARÓN;1571
29/12/2021;A6;ORURO;SM;SMARTPHONES;744
29/12/2021;A6;ORURO;VA;VARIOS;1644
29/12/2021;A7;POTOSÍ;AC;ACCESORIOS;524
29/12/2021;A7;POTOSÍ;CC;COMPUTACIÓN;574
29/12/2021;A7;POTOSÍ;CO;COSMÉTICOS;794
29/12/2021;A7;POTOSÍ;CZ;CALZADOS;950
29/12/2021;A7;POTOSÍ;DD;DEPORTES;823
29/12/2021;A7;POTOSÍ;EE;ELECTRODOMÉSTICOS;954
29/12/2021;A7;POTOSÍ;HO;PARA EL HOGAR;381
29/12/2021;A7;POTOSÍ;JU;JUGUETES;472
29/12/2021;A7;POTOSÍ;LI;LIMPIEZA;1607
29/12/2021;A7;POTOSÍ;MM;MUEBLES;532
29/12/2021;A7;POTOSÍ;RM;ROPA PARA MUJER;607
29/12/2021;A7;POTOSÍ;RN;ROPA PARA NIÑOS;1408
29/12/2021;A7;POTOSÍ;RV;ROPA PARA VARÓN;1562
29/12/2021;A7;POTOSÍ;SM;SMARTPHONES;723
29/12/2021;A7;POTOSÍ;VA;VARIOS;965
29/12/2021;A8;TRINIDAD;AC;ACCESORIOS;1479
29/12/2021;A8;TRINIDAD;CC;COMPUTACIÓN;1141
29/12/2021;A8;TRINIDAD;CO;COSMÉTICOS;953
29/12/2021;A8;TRINIDAD;CZ;CALZADOS;1224
29/12/2021;A8;TRINIDAD;DD;DEPORTES;734
29/12/2021;A8;TRINIDAD;EE;ELECTRODOMÉSTICOS;320
29/12/2021;A8;TRINIDAD;HO;PARA EL HOGAR;1056
29/12/2021;A8;TRINIDAD;JU;JUGUETES;1551
29/12/2021;A8;TRINIDAD;LI;LIMPIEZA;1150
29/12/2021;A8;TRINIDAD;MM;MUEBLES;1177
29/12/2021;A8;TRINIDAD;RM;ROPA PARA MUJER;312
29/12/2021;A8;TRINIDAD;RN;ROPA PARA NIÑOS;650
29/12/2021;A8;TRINIDAD;RV;ROPA PARA VARÓN;531
29/12/2021;A8;TRINIDAD;SM;SMARTPHONES;1184
29/12/2021;A8;TRINIDAD;VA;VARIOS;1277
29/12/2021;A9;COBIJA;AC;ACCESORIOS;399
29/12/2021;A9;COBIJA;CC;COMPUTACIÓN;826
29/12/2021;A9;COBIJA;CO;COSMÉTICOS;1198
29/12/2021;A9;COBIJA;CZ;CALZADOS;794
29/12/2021;A9;COBIJA;DD;DEPORTES;905
29/12/2021;A9;COBIJA;EE;ELECTRODOMÉSTICOS;473
29/12/2021;A9;COBIJA;HO;PARA EL HOGAR;1317
29/12/2021;A9;COBIJA;JU;JUGUETES;1113
29/12/2021;A9;COBIJA;LI;LIMPIEZA;677
29/12/2021;A9;COBIJA;MM;MUEBLES;1179
29/12/2021;A9;COBIJA;RM;ROPA PARA MUJER;1201
29/12/2021;A9;COBIJA;RN;ROPA PARA NIÑOS;1064
29/12/2021;A9;COBIJA;RV;ROPA PARA VARÓN;422
29/12/2021;A9;COBIJA;SM;SMARTPHONES;1161
29/12/2021;A9;COBIJA;VA;VARIOS;786
28/12/2021;A1;LA PAZ;AC;ACCESORIOS;473
28/12/2021;A1;LA PAZ;CC;COMPUTACIÓN;1066
28/12/2021;A1;LA PAZ;CO;COSMÉTICOS;316
28/12/2021;A1;LA PAZ;CZ;CALZADOS;1367
28/12/2021;A1;LA PAZ;DD;DEPORTES;650
28/12/2021;A1;LA PAZ;EE;ELECTRODOMÉSTICOS;1048
28/12/2021;A1;LA PAZ;HO;PARA EL HOGAR;1040
28/12/2021;A1;LA PAZ;JU;JUGUETES;862
28/12/2021;A1;LA PAZ;LI;LIMPIEZA;318
28/12/2021;A1;LA PAZ;MM;MUEBLES;1303
28/12/2021;A1;LA PAZ;RM;ROPA PARA MUJER;1526
28/12/2021;A1;LA PAZ;RN;ROPA PARA NIÑOS;508
28/12/2021;A1;LA PAZ;RV;ROPA PARA VARÓN;453
28/12/2021;A1;LA PAZ;SM;SMARTPHONES;638
28/12/2021;A1;LA PAZ;VA;VARIOS;1090
28/12/2021;A2;COCHABAMBA;AC;ACCESORIOS;630
28/12/2021;A2;COCHABAMBA;CC;COMPUTACIÓN;1082
28/12/2021;A2;COCHABAMBA;CO;COSMÉTICOS;1016
28/12/2021;A2;COCHABAMBA;CZ;CALZADOS;339
28/12/2021;A2;COCHABAMBA;DD;DEPORTES;585
